"date_created","description","followers","following","id","image_url","is_bot","last_updated","name","screen_name","political_leaning","account_category"
"0000-00-00 00:00:00",,"682","260","1961616968",,"1","0000-00-00 00:00:00",,"GOLOSOVALENA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"37","2","1964340318",,"1","0000-00-00 00:00:00",,"EXQUOTE","Commercial","Commercial"
"0000-00-00 00:00:00",,"301","172","1965622364",,"1","0000-00-00 00:00:00",,"KIRRANEW","Russian","NonEnglish"
"0000-00-00 00:00:00",,"73","22","1966460718",,"1","0000-00-00 00:00:00",,"GOAOLL","Russian","NonEnglish"
"0000-00-00 00:00:00",,"672","1552","1978369286",,"1","0000-00-00 00:00:00",,"KUJMAN91","Russian","NonEnglish"
"0000-00-00 00:00:00",,"272","261","2175889165",,"1","0000-00-00 00:00:00",,"PIECEOFLEMONPIE","Russian","NonEnglish"
"0000-00-00 00:00:00",,"102","36","2178414978",,"1","0000-00-00 00:00:00",,"ROBERT_SHANDER","Russian","NonEnglish"
"0000-00-00 00:00:00",,"24976","8475","2178836894",,"1","0000-00-00 00:00:00",,"BOEING_IS_BACK","Russian","NonEnglish"
"0000-00-00 00:00:00",,"812","982","2179312662",,"1","0000-00-00 00:00:00",,"BORINETS_2001","Russian","NonEnglish"
"0000-00-00 00:00:00",,"207","1668","2179953883",,"1","0000-00-00 00:00:00",,"VALERADEMCHYK","Russian","NonEnglish"
"0000-00-00 00:00:00",,"689","1963","2180102905",,"1","0000-00-00 00:00:00",,"VLADIMIRKORZ","Russian","NonEnglish"
"0000-00-00 00:00:00",,"238","2","2182402236",,"1","0000-00-00 00:00:00",,"MAHMOUDASSIBAYI","Russian","NonEnglish"
"0000-00-00 00:00:00",,"707","560","2183382799",,"1","0000-00-00 00:00:00",,"ROMASHKAMSK","Russian","NonEnglish"
"0000-00-00 00:00:00",,"635","1065","2183550654",,"1","0000-00-00 00:00:00",,"CYBERKUZIA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"618","1181","2184946609",,"1","0000-00-00 00:00:00",,"THEOVYAZGIN","Russian","NonEnglish"
"0000-00-00 00:00:00",,"115","55","2186414544",,"1","0000-00-00 00:00:00",,"BOINYA_N5","Russian","NonEnglish"
"0000-00-00 00:00:00",,"68","67","2186650831",,"1","0000-00-00 00:00:00",,"VIKA_BERE","Russian","NonEnglish"
"0000-00-00 00:00:00",,"131","68","2187544560",,"1","0000-00-00 00:00:00",,"MAXIM_ARHIP","Russian","NonEnglish"
"0000-00-00 00:00:00",,"253","46","2188505412",,"1","0000-00-00 00:00:00",,"VITANOSOVA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"1171","198","2188511652",,"1","0000-00-00 00:00:00",,"TOGANSHIN","Russian","NonEnglish"
"0000-00-00 00:00:00",,"365","201","2188875102",,"1","0000-00-00 00:00:00",,"LEROCHKA_ALA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"159","195","2188946905",,"1","0000-00-00 00:00:00",,"CHOCOMAYONNAISE","Russian","NonEnglish"
"0000-00-00 00:00:00",,"658","1959","2189293202",,"1","0000-00-00 00:00:00",,"ROGOVVALERON","Russian","NonEnglish"
"0000-00-00 00:00:00",,"1476","2096","2189501756",,"1","0000-00-00 00:00:00",,"MUHAMMADMUSA23","Arabic","NonEnglish"
"0000-00-00 00:00:00",,"282","1397","2190017534",,"1","0000-00-00 00:00:00",,"ELLEONORAAGEEVA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"600","706","2190406878",,"1","0000-00-00 00:00:00",,"MOSOBLSTALKER","Russian","NonEnglish"
"0000-00-00 00:00:00",,"207","1760","2190416905",,"1","0000-00-00 00:00:00",,"TOLIK_SATAN","Russian","NonEnglish"
"0000-00-00 00:00:00",,"194","79","2196039680",,"1","0000-00-00 00:00:00",,"SOKOLOSHA","Russian","NonEnglish"
